item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q100980938,M.BERTIN KOUADIO KONAN,male,Q114787383,Ministre de la Réconciliation et de la Cohésion Nationale,2020-12-15,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q100980938-9C152590-2431-49EC-BF7B-725BFC4AB7CB
Q101584179,Fidèle Sarassoro,male,Q115125609,Minister-Director of the Cabinet,2021-04-06,2022-04-20,,,Q101584179-ABA89897-E4E4-481C-9DFF-548C00C9D4BF
Q104437318,M. LAURENT TCHAGBA,male,Q115125451,Ministre de l’Hydraulique,2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q104437318-fd6ba374-48f1-b428-281f-4b7ccbc18a6d
Q105833518,M. TENE BIRAHIMA OUATTARA,male,Q114777073,"Ministre d’Etat, Ministre de la Défense",2021-03-08,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q105833518-CEC56A54-FFAF-47E5-ADA0-7147DB5D7C55
Q106777843,M. ADAMA KAMARA,male,Q114787374,Ministre de l’Emploi et de la Protection sociale,2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q106777843-B1E229C4-AAEF-4F68-9988-1CB954C372B8
Q107266901,Mme. NASSENEBA TOURE,female,Q114787389,"Ministre de la Femme, de la Famille et de l’Enfant",2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q107266901-EECF77B9-DDA2-42C5-AE12-F9901CDBF33D
Q107466615,MME MYSS BELMONDE DOGO,female,Q114787384,Ministre de la Solidarité et de la lutte contre la Pauvreté,2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q107466615-EC1D4995-F696-4040-9A96-E409956A47D0
Q108752418,M. AMÉDÉ KOFFI KOUAKOU,male,Q114787375,Ministre de l’Equipement et de l’Entretien routier,2017-01,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q108752418-CFF9B56A-4391-4E0A-9ED6-3CD2C97C8B4D
Q111334944,Gilbert Koné Kafana,male,Q115125604,Minister for Relations with the Institutions of the Republic,2021-04-06,2022-04-20,,,Q111334944-9095ADBF-FF89-4561-BAD6-F7FD44581967
Q111901694,Gal. VAGONDO DIOMANDE,male,Q114777330,Ministre de l’Intérieur et de la Sécurité,2019-09-04,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q111901694-D6B3C1D4-27E7-4B73-B19C-85639234F40F
Q112684510,M. KOFFI N'GUESSAN LATAILLE,male,Q115125613,"Secrétaire d’Etat auprès du Ministre de la Construction, du Logement et de l’Urbanisme, chargé du Logement Social",2021-04-06,2022-04-20,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-11-08,Q112684510-1BD46D2F-D4F4-44F5-8C46-5A5F69DEB6FC
Q112947515,M. SIANDOU FOFANA,male,Q114777325,Ministre du Tourisme et des Loisirs,2017-01-13,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q112947515-CA81A784-A3B9-415C-8E28-6DA8C2ED7CD4
Q112948561,M. ADAMA DIAWARA,male,Q114777323,Ministre de l’Enseignement Supérieur et de la Recherche Scientifique,2020-05-13,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q112948561-7005A509-3139-4E6A-8D02-84F36ABFDE2D
Q113528137,M. JEAN-LUC ASSI,male,Q114777332,Ministre de l’Environnement et du Développement Durable,2021-04-06,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q113528137-214E1507-6C8F-450D-9333-A1976DE3095A
Q113680500,M. SOULEYMANE DIARRASSOUBA,male,Q114787372,Ministre du Commerce et de l’Industrie,2017-01-11,,https://www.gouv.ci/_legouvernement.php?recordID=26,2022-10-21,Q113680500-95304bb1-4589-d023-6962-d5910ab988a5
